Analysis Time;Product Name;Product Code;Sample Type;Sample Number;Sample Comment;Instrument Name;Instrument Serial Number;Humedad;Standard Deviation Humedad;Min Humedad;Max Humedad;Global H Humedad;Neighbourhood H Humedad;t-statistics Humedad;Ref Humedad;Grasa;Standard Deviation Grasa;Min Grasa;Max Grasa;Global H Grasa;Neighbourhood H Grasa;t-statistics Grasa;Ref Grasa;Cenizas;Standard Deviation Cenizas;Min Cenizas;Max Cenizas;Global H Cenizas;Neighbourhood H Cenizas;Ref Cenizas;pH;Standard Deviation pH;Min pH;Max pH;Global H pH;Neighbourhood H pH;t-statistics pH;Ref pH;Cup id;Cup type
01/02/2022 19:33;CACAO (TORTA);CACAO_TORTA;Normal;324/22;;NIRS DS3 F;91889831;1.94;0.068;1.84;2.031;0.72;0.33;0.79;3.47;11.17;0.074;11.067;11.258;0.72;0.33;-0.55;;;;;;;;;5.89;0.106;5.721;6.054;0.72;0.33;-1.35;5.56;82125;2501
01/02/2022 19:35;CACAO (TORTA);CACAO_TORTA;Normal;325/22;;NIRS DS3 F;91889831;1.83;0.069;1.733;1.95;0.88;0.35;0.56;3.44;10.83;0.058;10.732;10.916;0.88;0.35;-0.64;;;;;;;;;5.75;0.095;5.618;5.868;0.88;0.35;-1.48;5.47;82125;2501
01/02/2022 19:36;CACAO (TORTA);CACAO_TORTA;Normal;326/22;;NIRS DS3 F;91889831;1.92;0.066;1.805;1.994;0.64;0.32;0.76;3.79;11.21;0.046;11.157;11.278;0.64;0.32;-0.54;;;;;;;;;5.9;0.085;5.767;6.032;0.64;0.32;-1.34;5.45;82125;2501
01/02/2022 19:37;CACAO (TORTA);CACAO_TORTA;Normal;327/22;;NIRS DS3 F;91889831;1.84;0.045;1.764;1.896;0.65;0.3;0.58;3.87;11.1;0.049;11.013;11.147;0.65;0.3;-0.57;;;;;;;;;5.9;0.105;5.777;6.053;0.65;0.3;-1.34;5.41;82125;2501
01/02/2022 19:40;CACAO (TORTA);CACAO_TORTA;Normal;328/22;;NIRS DS3 F;91889831;1.82;0.052;1.759;1.912;0.67;0.42;0.54;3.33;10.86;0.044;10.804;10.929;0.67;0.42;-0.64;;;;;;;;;5.76;0.084;5.644;5.904;0.67;0.42;-1.47;5.41;82125;2501
01/02/2022 19:42;CACAO (TORTA);CACAO_TORTA;Normal;059/22;;NIRS DS3 F;91889831;1.76;0.073;1.66;1.866;0.7;0.4;0.4;3.56;10.51;0.079;10.416;10.631;0.7;0.4;-0.73;11.29;;;;;;;;5.84;0.093;5.722;5.976;0.7;0.4;-1.4;5.5;82125;2501
01/02/2022 19:44;CACAO (TORTA);CACAO_TORTA;Normal;109/22;;NIRS DS3 F;91889831;1.55;0.052;1.479;1.633;0.91;0.46;-0.03;2.43;11;0.076;10.911;11.126;0.91;0.46;-0.6;11.88;;;;;;;;5.94;0.081;5.876;6.061;0.91;0.46;-1.3;5.35;82125;2501
01/02/2022 19:46;CACAO (TORTA);CACAO_TORTA;Normal;145/22;;NIRS DS3 F;91889831;1.69;0.07;1.607;1.797;0.84;0.24;0.26;2.44;10.61;0.067;10.499;10.678;0.84;0.24;-0.7;11.31;;;;;;;;5.53;0.16;5.294;5.818;0.84;0.24;-1.68;5.52;82125;2501
01/02/2022 19:48;CACAO (TORTA);CACAO_TORTA;Normal;146/22;;NIRS DS3 F;91889831;1.72;0.038;1.683;1.793;0.69;0.14;0.33;2.74;10.39;0.071;10.309;10.499;0.69;0.14;-0.77;10.91;;;;;;;;5.65;0.137;5.487;5.834;0.69;0.14;-1.57;5.51;82125;2501
01/02/2022 19:49;CACAO (TORTA);CACAO_TORTA;Normal;147/22;;NIRS DS3 F;91889831;1.74;0.042;1.693;1.794;0.81;0.21;0.36;2.4;10.71;0.097;10.62;10.906;0.81;0.21;-0.68;11.47;;;;;;;;5.66;0.111;5.574;5.892;0.81;0.21;-1.57;5.55;82125;2501
